c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 2 0
0 1 4 3
0 3 9 1
0 2 7 3
0 3 1 2
0 1 5 3
0 1 3 1
0 0 1 1
2 2 3 0
4 9 3 2
9 4 8 9
7 1 6 4
1 9 6 1
5 6 5 9
3 3 8 6
1 0 2 3
3 1 1 0
3 9 6 1
8 8 3 9
6 2 7 8
6 3 7 2
5 9 5 3
8 1 2 9
2 0 2 1
1 2 1 0
6 1 6 2
3 5 7 1
7 6 2 5
7 9 4 6
5 2 5 9
2 3 3 2
2 0 2 3
1 2 2 0
6 2 3 2
7 4 3 2
2 7 9 4
4 1 6 7
5 4 7 1
3 1 6 4
2 0 1 1
2 1 1 0
3 8 6 1
3 9 5 8
9 9 9 9
6 5 9 9
7 6 7 5
6 2 3 6
1 0 2 2
1 1 1 0
6 2 8 1
5 4 4 2
9 7 9 4
9 3 6 7
7 8 7 3
3 3 2 8
2 0 3 3
1 3 0 0
8 2 0 3
4 1 0 2
9 3 0 1
6 2 0 3
7 1 0 2
2 3 0 1
3 0 0 3

