c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 3 0
0 3 8 2
0 1 9 3
0 1 3 1
0 3 8 1
0 2 2 3
0 3 9 2
0 0 1 3
3 1 1 0
8 2 3 1
9 8 6 2
3 5 5 8
8 3 4 5
2 2 1 3
9 1 6 2
1 0 1 1
1 3 3 0
3 5 3 3
6 5 4 5
5 5 1 5
4 6 5 5
1 8 4 6
6 2 2 8
1 0 1 2
3 1 3 0
3 9 5 1
4 6 5 9
1 9 5 6
5 7 5 9
4 1 5 7
2 2 8 1
1 0 3 2
3 3 3 0
5 9 3 3
5 2 8 9
5 7 2 2
5 1 4 7
5 1 9 1
8 1 1 1
3 0 2 1
3 3 2 0
3 7 3 3
8 4 9 7
2 9 7 4
4 6 4 9
9 6 7 6
1 2 6 6
2 0 1 2
2 1 2 0
3 4 5 1
9 4 7 4
7 5 5 4
4 4 4 5
7 6 2 4
6 2 7 6
1 0 2 2
2 1 0 0
5 3 0 1
7 2 0 3
5 1 0 2
4 1 0 1
2 3 0 1
7 1 0 3
2 0 0 1

