c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 3 0
0 1 7 2
0 1 4 1
0 3 3 1
0 3 9 3
0 1 4 3
0 1 6 1
0 0 1 1
3 2 3 0
7 3 2 2
4 3 8 3
3 7 8 3
9 5 3 7
4 6 4 5
6 3 3 6
1 0 2 3
3 2 1 0
2 2 5 2
8 1 5 2
8 5 3 1
3 4 9 5
4 6 3 4
3 3 9 6
2 0 3 3
1 3 1 0
5 5 1 3
5 7 3 5
3 2 5 7
9 8 5 2
3 8 9 8
9 3 4 8
3 0 3 3
1 1 3 0
1 8 2 1
3 4 2 8
5 7 6 4
5 6 1 7
9 2 1 6
4 3 7 2
3 0 2 3
3 1 2 0
2 4 4 1
2 8 8 4
6 7 6 8
1 2 6 7
1 7 1 2
7 3 3 7
2 0 1 3
2 2 3 0
4 3 4 2
8 6 9 3
6 1 9 6
6 8 6 1
1 6 4 8
3 2 6 6
1 0 2 2
3 3 0 0
4 1 0 3
9 3 0 1
9 2 0 3
6 2 0 2
4 1 0 2
6 2 0 1
2 0 0 2

