c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 3 0
0 3 9 1
0 3 6 3
0 1 7 3
0 1 3 1
0 2 4 1
0 2 1 2
0 0 3 2
3 2 3 0
9 4 8 2
6 6 8 4
7 8 9 6
3 3 8 8
4 1 3 3
1 1 7 1
3 0 1 1
3 3 1 0
8 1 4 3
8 4 3 1
9 8 9 4
8 1 1 8
3 5 7 1
7 2 7 5
1 0 3 2
1 1 1 0
4 9 9 1
3 4 1 9
9 2 8 4
1 2 2 2
7 7 6 2
7 3 2 7
3 0 2 3
1 2 1 0
9 2 6 2
1 3 5 2
8 3 7 3
2 7 1 3
6 1 1 7
2 2 4 1
2 0 2 2
1 3 3 0
6 5 6 3
5 3 1 5
7 8 6 3
1 8 4 8
1 6 8 8
4 3 8 6
2 0 2 3
3 1 1 0
6 9 7 1
1 3 5 9
6 8 5 3
4 2 1 8
8 8 9 2
8 3 5 8
2 0 1 3
1 1 0 0
7 2 0 1
5 1 0 2
5 3 0 1
1 2 0 3
9 3 0 2
5 3 0 3
1 0 0 3

